"UO - Órgão Superior",,"Função Governo",,"Subfunção Governo",,"Ação Governo",,"JAN/2018","FEV/2018","MAR/2018","JAN/2017","FEV/2017","MAR/2017","ABR/2017","MAI/2017","JUN/2017","JUL/2017","AGO/2017","SET/2017","OUT/2017","NOV/2017","DEZ/2017","JAN/2016","FEV/2016","MAR/2016","ABR/2016","MAI/2016","JUN/2016","JUL/2016","AGO/2016","SET/2016","OUT/2016","NOV/2016","DEZ/2016"
"20000","PRESIDENCIA DA REPUBLICA","26","TRANSPORTE","784","TRANSPORTE HIDROVIARIO","122I","DRAGAGEM E ADEQUACAO DA NAVEGABILIDADE NO PORTO DE VITORIA (","","","","","","","","","","2.339.411,53","0,00","0,00","0,00","0,00","0,00","","","","","","","","","","","",""
"20101","PRESIDENCIA DA REPUBLICA","04","ADMINISTRACAO","781","TRANSPORTE AEREO","12CE","CONSTRUCAO DE AEROPORTOS E AERODROMOS DE INTERESSE ESTADUAL","","","","","","","","","","","","","","","","","","","","305.538,49","0,00","91.220,07","0,00","0,00","0,00","0,00","0,00"
"20101","PRESIDENCIA DA REPUBLICA","04","ADMINISTRACAO","781","TRANSPORTE AEREO","5154","REFORMA E AMPLIACAO DE AEROPORTOS E AERODROMOS DE INTERESSE","","","","","","","","","","","","","","","","","","1.062.426,19","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1.312.599,72"
"20101","PRESIDENCIA DA REPUBLICA","14","DIREITOS DA CIDADANIA","422","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","210B","ATENDIMENTO AS MULHERES EM SITUACAO DE VIOLENCIA","","","","","","","","","","","","","","","","183.082,63","170.996,06","633.179,27","0,00","0,00","308.668,28","0,00","0,00","0,00","314.291,69","2.185,52","63.483,04"
"20101","PRESIDENCIA DA REPUBLICA","28","ENCARGOS ESPECIAIS","846","OUTROS ENCARGOS ESPECIAIS","009O","PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO","","","","","","","","","","","","","","","","","","","","","","","","5.092.876,65","0,00","0,00","220.488,15"
"20101","PRESIDENCIA DA REPUBLICA","28","ENCARGOS ESPECIAIS","846","OUTROS ENCARGOS ESPECIAIS","00HH","PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESPIRI","","","","","","","","","","","","","","","","","4.234.227,03","2.914.832,20","4.536.564,71","4.880.433,37","2.731.863,84","2.312.014,80","4.313.947,12","3.175.090,39","3.298.098,54","3.731.400,48","4.840.718,95"
"20101","PRESIDENCIA DA REPUBLICA","28","ENCARGOS ESPECIAIS","846","OUTROS ENCARGOS ESPECIAIS","00HT","PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO","","","","","","","","","","","","","","","","","","","","40.084.687,59","25.599.820,87","0,00","0,00","0,00","10.421.852,60","13.648.096,59","12.626.200,18"
"20101","PRESIDENCIA DA REPUBLICA","28","ENCARGOS ESPECIAIS","846","OUTROS ENCARGOS ESPECIAIS","00I1","PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DAS DOCAS DO ES","","","","","","","","","","","","","","","","","","","","","","","","","","","60.511.038,00"
"20101","PRESIDENCIA DA REPUBLICA","28","ENCARGOS ESPECIAIS","846","OUTROS ENCARGOS ESPECIAIS","00I9","PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO CEARA","","","","","","","","","","","","","","","","","","","","","","","","","","","2.485.373,30"
"20101","PRESIDENCIA DA REPUBLICA","28","ENCARGOS ESPECIAIS","846","OUTROS ENCARGOS ESPECIAIS","00IM","PARTICIPACAO DA UNIAO NO CAPITAL - COMPANHIA DOCAS DO ESTADO","","","","","","","","","","","","","","","","","","","","","14.343.300,38","0,00","0,00","0,00","0,00","0,00","0,00"
