uf;municipio;data;eleitores
AC;assis_brasil;2010-03-31;4817
AC;bujari;2010-02-12;6712
AC;porto_acre;2015-12-05;11293
AC;rio_branco;2014-03-01;229844
AC;senador_guiomard;2016-03-30;15754
AC;xapuri;2015-12-05;11036
AL;agua_branca;2011-11-25;14639
AL;anadia;2011-12-09;13770
AL;arapiraca;2012-03-09;125352
AL;atalaia;2011-12-16;29615
AL;barra_de_santo_antonio;2010-03-10;9178
AL;barra_de_sao_miguel;2012-03-09;5205
AL;batalha;2011-12-16;10973
AL;belem;2012-03-09;4801
AL;belo_monte;2011-12-16;4624
AL;boca_da_mata;2011-12-16;19741
AL;branquinha;2010-02-03;7818
AL;cacimbinhas;2011-12-09;6818
AL;cajueiro;2011-12-02;13990
AL;campestre;2012-01-13;4247
AL;campo_alegre;2011-12-05;22036
AL;campo_grande;2011-12-09;7483
AL;canapi;2011-12-09;13093
AL;capela;2011-12-02;13013
AL;carneiros;2011-12-08;5613
AL;cha_preta;2010-03-10;5732
AL;coite_do_noia;2010-02-11;8344
AL;colonia_leopoldina;2011-12-16;14552
AL;coqueiro_seco;2011-12-14;4155
AL;coruripe;2011-11-30;36536
AL;craibas;2012-03-09;15645
AL;delmiro_gouveia;2011-12-16;35174
AL;dois_riachos;2011-12-09;8766
AL;estrela_de_alagoas;2012-03-09;11984
AL;feira_grande;2012-03-09;15175
AL;feliz_deserto;2011-12-16;3210
AL;flexeiras;2011-10-31;7716
AL;girau_do_ponciano;2011-12-09;23416
AL;ibateguara;2011-11-22;10555
AL;igaci;2010-02-11;20156
AL;igreja_nova;2011-11-21;16982
AL;inhapi;2011-12-09;12544
AL;jacare_dos_homens;2011-12-16;4628
AL;jacuipe;2012-01-13;5312
AL;japaratinga;2011-12-05;5902
AL;jaramataia;2010-03-10;4637
AL;jequia_da_praia;2012-03-09;7983
AL;joaquim_gomes;2011-10-31;14195
AL;jundia;2012-01-13;3885
AL;junqueiro;2011-12-16;18570
AL;lagoa_da_canoa;2012-03-09;12793
AL;limoeiro_de_anadia;2011-11-29;16440
AL;maceio;2011-12-16;535648
AL;major_isidoro;2011-12-16;14747
AL;mar_vermelho;2011-11-22;3230
AL;maragogi;2011-12-05;17287
AL;maravilha;2011-12-22;8332
AL;marechal_deodoro;2011-11-14;30498
AL;maribondo;2010-02-03;11182
AL;mata_grande;2011-12-09;17327
AL;matriz_de_camaragibe;2011-11-22;17031
AL;messias;2011-12-13;11585
AL;minador_do_negrao;2011-12-09;3581
AL;monteiropolis;2011-12-13;5360
AL;murici;2011-12-13;18761
AL;novo_lino;2011-12-16;7982
AL;olho_d_agua_das_flores;2011-12-13;14034
AL;olho_d_agua_do_casado;2011-12-16;5597
AL;olho_d_agua_grande;2011-12-09;4122
AL;olivenca;2011-12-16;8645
AL;ouro_branco;2011-12-22;8235
AL;palestina;2011-11-24;3830
AL;palmeira_dos_indios;2012-03-09;51208
AL;pao_de_acucar;2011-11-24;17591
AL;pariconha;2011-11-25;7774
AL;paripueira;2011-12-16;7963
AL;passo_de_camaragibe;2011-12-16;10678
AL;paulo_jacinto;2011-09-12;5959
AL;penedo;2011-12-16;39100
AL;piacabucu;2011-12-16;12613
AL;pilar;2011-12-16;25285
AL;pindoba;2011-12-16;2390
AL;piranhas;2011-12-16;13594
AL;poco_das_trincheiras;2010-03-10;9763
AL;porto_calvo;2012-01-13;19862
AL;porto_de_pedras;2011-10-18;6260
AL;porto_real_do_colegio;2011-12-06;13689
AL;quebrangulo;2010-02-11;8951
AL;rio_largo;2010-03-19;48260
AL;roteiro;2012-03-09;4681
AL;santa_luzia_do_norte;2011-12-14;5485
AL;santana_do_ipanema;2011-12-16;30263
AL;santana_do_mundau;2011-11-22;7977
AL;sao_bras;2011-12-09;5379
AL;sao_jose_da_laje;2011-11-22;15578
AL;sao_jose_da_tapera;2011-12-08;19828
AL;sao_luis_do_quitunde;2011-12-16;22640
AL;sao_miguel_dos_campos;2012-03-09;36244
AL;sao_miguel_dos_milagres;2010-02-11;5753
AL;sao_sebastiao;2011-07-22;23314
AL;satuba;2011-12-14;9180
AL;senador_rui_palmeira;2011-12-08;8188
AL;tanque_d_arca;2011-12-09;4336
AL;taquarana;2011-12-16;13270
AL;teotonio_vilela;2011-12-16;28811
AL;traipu;2011-12-05;18336
AL;uniao_dos_palmares;2011-11-22;42461
AL;vicosa;2011-11-22;19753
AM;autazes;2016-02-26;22944
AM;careiro;2016-03-18;21120
AM;careiro_da_varzea;2013-08-30;15045
AM;iranduba;2014-03-21;27412
AM;itacoatiara;2014-03-28;60465
AM;manacapuru;2014-03-28;63184
AM;manaus;2016-03-30;1249333
AM;novo_airao;2013-12-06;8130
AM;presidente_figueiredo;2013-06-21;18240
AM;rio_preto_da_eva;2013-10-18;14292
AP;amapa;2014-03-28;5473
AP;calcoene;2014-03-28;7001
AP;cutias;2014-03-28;3389
AP;ferreira_gomes;2010-03-19;4004
AP;itaubal;2014-03-28;4061
AP;laranjal_do_jari;2014-03-28;26666
AP;macapa;2013-11-29;255209
AP;mazagao;2014-03-28;12261
AP;oiapoque;2014-03-28;18114
AP;pedra_branca_do_amapari;2014-03-28;7673
AP;porto_grande;2013-12-19;11234
AP;pracuuba;2014-03-28;2584
AP;santana;2013-12-06;66111
AP;serra_do_navio;2014-03-28;3212
AP;tartarugalzinho;2014-03-28;7164
AP;vitoria_do_jari;2014-03-28;9514
BA;adustina;2014-01-31;11476
BA;aiquara;2015-12-18;4418
BA;alagoinhas;2016-02-29;106413
BA;andorinha;2014-03-21;12224
BA;aracas;2015-12-18;10223
BA;aramari;2016-02-29;8150
BA;arataca;2014-03-28;6325
