DATA_GERACAO;HORA_GERACAO;ANO_ELEICAO;NUM_TURNO;DESCRICAO_ELEICAO;SIGLA_UF;SIGLA_UE;CODIGO_MUNICIPIO;NOME_MUNICIPIO;NUMERO_ZONA;CODIGO_CARGO;DESCRICAO_CARGO;QTD_APTOS;QTD_SECOES;QTD_SECOES_AGREGADAS;QTD_APTOS_TOT;QTD_SECOES_TOT;QTD_COMPARECIMENTO;QTD_ABSTENCOES;QTD_VOTOS_NOMINAIS;QTD_VOTOS_BRANCOS;QTD_VOTOS_NULOS;QTD_VOTOS_LEGENDA;QTD_VOTOS_ANULADOS_APU_SEP;DATA_ULT_TOTALIZACAO;HORA_ULT_TOTALIZACAO;TRANSITO;QTD_VOTOS_ANULADOS
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;MG;54011;54011;UBERABA;347;11;PREFEITO;58528;189;23;58528;189;45701;12827;35035;2256;8410;0;0;31/03/2017;15:43:56;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;MG;44954;44954;ESTRELA DO SUL;110;11;PREFEITO;6012;20;1;6012;20;5261;751;5024;59;178;0;0;24/11/2016;13:34:36;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;MG;50199;50199;PIRANGUINHO;51;13;VEREADOR;6946;20;1;6946;20;5853;1093;5179;165;200;309;0;02/10/2016;18:42:49;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;MG;42412;42412;CAPARAÓ;303;11;PREFEITO;4456;19;3;4456;19;3849;607;3642;54;153;0;0;02/10/2016;18:59:25;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;MG;54313;54313;MATHIAS LOBATO;119;11;PREFEITO;3125;9;7;3125;9;2579;546;2368;46;165;0;0;02/10/2016;19:19:45;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;MG;49530;49530;PASSA TEMPO;208;13;VEREADOR;7473;24;7;7473;24;6186;1287;5482;165;271;268;0;02/10/2016;18:09:10;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;MG;53139;53139;SENADOR FIRMINO;261;11;PREFEITO;6468;22;1;6468;22;5744;724;5454;59;231;0;0;02/10/2016;17:57:44;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;MG;51950;51950;SANTA VITÓRIA;308;13;VEREADOR;16218;54;5;16218;54;14205;2013;13174;133;319;579;0;18/11/2016;11:17:36;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;MG;45632;45632;GUARACIABA;225;13;VEREADOR;8452;31;3;8452;31;7205;1247;6274;100;299;532;0;21/11/2016;18:12:48;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;MG;40738;40738;ARAPONGA;107;13;VEREADOR;6803;18;1;6803;18;5628;1175;4814;115;212;487;0;02/10/2016;19:26:56;N;0
03/05/2018;13:13:28;2016;1;ELEIÇÕES MUNICIPAIS 2016;MG;51292;51292;RUBELITA;244;11;PREFEITO;7968;38;3;7968;38;6168;1800;5880;73;215;0;0;02/10/2016;19:13:29;N;0
