number,fifa_display_name,last_name,first_name,shirt_name,day_of_birth,position,club,height,caps,goals,team,esporte,media_gols
1,Nahuel GUZMAN,GUZMÁN,Nahuel Ignacio,GUZMÁN,1986-02-10,GK,Tigres (MEX),1.92,6,0,Argentina,futebol,0
2,Gabriel MERCADO,MERCADO,Gabriel Ivan,MERCADO,1987-03-18,DF,Sevilla FC (ESP),1.81,21,3,Argentina,futebol,0.1
3,Nicolas TAGLIAFICO,TAGLIAFICO,Nicolás Alejandro,TAGLIAFICO,1992-08-31,DF,Ajax (NED),1.69,6,0,Argentina,futebol,0
4,Cristian ANSALDI,ANSALDI,Cristian Daniel,ANSALDI,1986-09-20,DF,Torino (ITA),1.81,5,1,Argentina,futebol,0.2
5,Lucas BIGLIA,BIGLIA,Lucas Rodrigo,BIGLIA,1986-01-30,MF,AC Milan (ITA),1.75,58,1,Argentina,futebol,0
6,Federico FAZIO,FAZIO,Federico Julián,FAZIO,1987-03-17,DF,AS Roma (ITA),1.99,9,1,Argentina,futebol,0.1
7,Ever BANEGA,BANEGA,Ever Maximiliano David,BANEGA,1988-06-29,MF,Sevilla FC (ESP),1.75,63,6,Argentina,futebol,0.1
8,Marcos ACUNA,ACUÑA,Marcos Javier,ACUÑA,1991-10-28,DF,Sporting CP (POR),1.72,11,0,Argentina,futebol,0
9,Gonzalo HIGUAIN,HIGUAIN,Gonzalo Gerardo,HIGUAÍN,1987-12-10,FW,Juventus (ITA),1.84,74,31,Argentina,futebol,0.4
10,Lionel MESSI,MESSI,Lionel Andres,MESSI,1987-06-24,FW,FC Barcelona (ESP),1.7,126,64,Argentina,futebol,0.5
11,Angel DI MARIA,DI MARIA,Angel Fabian,DI MARÍA,1988-02-14,MF,Paris Saint-Germain (FRA),1.78,95,19,Argentina,futebol,0.2
12,Franco ARMANI,ARMANI,Franco,ARMANI,1986-10-16,GK,River Plate (ARG),1.89,0,0,Argentina,futebol,
13,Maximiliano MEZA,MEZA,Maximiliano Eduardo,MEZA,1992-12-15,MF,Independiente (ARG),1.8,4,0,Argentina,futebol,0
14,Javier MASCHERANO,MASCHERANO,Javier Alejandro,MASCHERANO,1984-06-08,DF,Hebei Huabei (CHN),1.74,145,3,Argentina,futebol,0
15,Enzo PEREZ,PEREZ,Enzo Nicolas,PÉREZ,1986-02-22,MF,River Plate (ARG),1.78,24,1,Argentina,futebol,0
16,Marcos ROJO,ROJO,Faustino Marcos Alberto,MARCOS ROJO,1990-03-20,DF,Manchester United (ENG),1.89,57,2,Argentina,futebol,0
17,Nicolas OTAMENDI,OTAMENDI,Nicolas Hernan Gonzalo,OTAMENDI,1988-02-12,DF,Manchester City (ENG),1.81,56,4,Argentina,futebol,0.1
18,Eduardo SALVIO,SALVIO,Eduardo Antonio,SALVIO,1990-07-13,DF,Benfica (POR),1.67,11,0,Argentina,futebol,0
19,Sergio AGUERO,AGÜERO,Sergio Leonel,KUN AGUERO,1988-06-02,FW,Manchester City (ENG),1.72,87,38,Argentina,futebol,0.4
20,Giovani LO CELSO,LO CELSO,Giovani,LO CELSO,1996-04-09,MF,Paris Saint-Germain (FRA),1.77,5,0,Argentina,futebol,0
21,Paulo DYBALA,DYBALA,Paulo Exequiel,DYBALA,1993-11-15,FW,Juventus (ITA),1.77,13,0,Argentina,futebol,0
